dev_id,train_nn_rank,train_id,cosine_sim,dev_text,train_text,train_labels,dev_paraphrase,train_paraphrase
2018-En-01472,1,2017-En-21711,0.9995664954185486,"O, the melancholy Catacombs quickly wandered about the Rue Morgue, Madman!","Ya tremble like Mr. Cooper, yo we hanging",none,,
2018-En-01501,1,2017-En-10727,0.9997422695159912,#LouiseLinton - haters gonna hate keep on being your#fabulous self they'll keep on being  #miserable,@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂,"joy,love",,
2018-En-02929,1,2017-En-40745,0.9996438026428223,Perfectly #Recall #amazing #surreal #totalsolareclipse so #fortunate to #experience in #Europe #ManyYearsAgo #Live \n#Happy 4 #YouGuys #USA 😘,@hyattd335 #Grateful for #novel #award #promo #RT - #Blessings DeWayne Hyatt #Hippie who loves to grind on the #blues #Florida,"joy,love,optimism",,
2018-En-04078,1,2017-En-41237,0.9996549487113953,"So happy to be home from Ibiza the place is some thing else mad gaff that , need find a bird now I wanna start doing romantic things now 😂😂",i really want to read this fic i found but it's #serious and this room is full of #memes,"anticipation,joy,optimism,sadness",,
2018-En-02748,1,2017-En-40978,0.999687910079956,#RIPBiwott I think Robert oukos soul can now rejoice and rest in peace. Call an evil man evil and a good man a good man. He was an evil man,@LdhranOusby @RobHarris inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties.,"anger,disgust,sadness",,
2018-En-04018,1,2017-En-22092,0.9996054768562317,@itejasmehta @QTalker My pleasure 😊,@salutetroye you look adorable awe,"joy,love",,
2018-En-01080,1,2017-En-21820,0.9996731877326965,"@stuael Ano man, I'm stunned! At one point our heads were gone and they were scoring at will! #relieved",@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far #shocking. #venkysout,"fear,surprise",,
2018-En-00255,1,2017-En-10307,0.9994375705718994,"...with the couple, so you decide to ignore everything and finish yours while dealing with the laughter and everything in the background.",... flat party and I instantly get bollocked about it. ,none,,
2018-En-03053,1,2017-En-10389,0.9996659755706787,@GarfieldLineker @TimCRoberts *on his back. Apologies for retweeting a tweet with grammatical error #mybad 😱,"@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin","disgust,fear,sadness",,
2018-En-01325,1,2017-En-30942,0.9997249841690063,@Dat_Phan Too much fun being interviewed by the supremely talented and funny #DatPhan #Comedy #laughter #soup,@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter,"joy,love,optimism",,
2018-En-02658,1,2017-En-40700,0.9997150897979736,@pepesgrandma @FreeBeacon Thanks for the early morning laughter ❤,@hotelplanner I stayed at a hotel who  packed picnic lunches to take on the road!! #BetterTogether @Redlizzy1 @NewfieChic @Ladybug_Vic,joy,,
2018-En-02557,1,2017-En-11056,0.9989562034606934,Time to #impeachtrump . He is #crazy #mentally #sick and spews #hatred . #America is in trouble with him having #access to #nuclearcodes 👎👎,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .","anger,optimism",,
2018-En-00689,1,2017-En-30497,0.9997382760047913,That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed,Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords,"optimism,trust",,
2018-En-01237,1,2017-En-40582,0.9994195103645325,#Trump's only #concern is personal #profit through his #brand and doing #favors for others in trade for his own needs. Not #US #people.,#Always #borrow #money from a #pessimist. He won't #expect it #back.,pessimism,,
2018-En-04310,1,2017-En-22011,0.9995719790458679,Shame the cashback @mbna @AmexUK credit card comes to an end. I used to look forward to that end of year bonus. Sad really. #cashback ,"So looks like @united would rather lose all my business, than let me apply my credits towards my change fee, due to terrorism","fear,pessimism",,
2018-En-01408,1,2017-En-10767,0.9997577667236328,@3lectric5heep Well that must sting doesn't it @CNN ?,@CharlotteBnntt that's the joke. I know it's incense,"joy,optimism",,
2018-En-02292,1,2017-En-11215,0.9997515678405762,thought I was a bad driver until I went to college #relieved,13 hour @bus rides make me  #sorry,sadness,,
2018-En-03300,1,2017-En-10530,0.999613344669342,"I posted a snap of my dad, and someone thought he was my GRANDMOTHER #crying","As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just ","anger,disgust",,
2018-En-01798,1,2017-En-31136,0.9996042251586914,"Brighten up a gloomy day with a @SiennaXOfficial spray tan, we have a tan to suit everybody! #spraytan #tan #summer #godalming #hurtmore",Skiving #Freshers2016 for a me day! #nails #sunbeds and #gym 😉💜👑 #priorities #student #studentnurse #pampered ,"anticipation,joy,love,optimism",,
2018-En-02322,1,2017-En-10014,0.9998500347137451,Head hurting 😤,Fuking fuming 😤,"anger,disgust",,
2018-En-00807,1,2017-En-21772,0.9996318221092224,@virtualalien there are more #frightening things in life\n\n#BeyondTheSphereOfReasonableDoubt,"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.","anger,disgust",,
2018-En-02366,1,2017-En-21187,0.9990475177764893,"I feel exhausted ...\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\n#exist #weary #misonorotta","⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +","fear,pessimism",,
2018-En-00832,1,2017-En-11081,0.9997783303260803,@skh4808 @theveteran425FA @TomiLahren Then why'd they wait until now to start getting pissy? ,@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger,,
2018-En-02025,1,2017-En-41106,0.9991194009780884,When did it all started? All these depression &amp; anxiety shits?All these suicide thoughts?All of these bad thoughts thts hugging me at night?,"But what will complaining, pessimism, regret, and anger get you?","anger,pessimism,sadness",,
2018-En-02819,1,2017-En-21599,0.9995152354240417,@RickHoffman_ And we are all so grateful for your perseverance! Happy Anniversary twin!,@JamieSmart93 that was shocking!,"anger,disgust,fear,sadness,surprise",,
2018-En-00825,1,2017-En-21459,0.9997135400772095,You could have over a hundred million followers and still not a genuine person who understands you or wants to #cantshakethis #sadness,@yonahimes they never posted stuff like this?????\ni mean i was able to scroll over it so it wasnt a big deal but it was #shocking,"anger,disgust,fear,sadness,surprise",,
2018-En-00532,1,2017-En-10978,0.9997000098228455,Obama's 250+ offices of 'Organizing for Action' teaches #TheResistance #protesting #civildisobedience #treason #LOCKHIMUP #OFA ,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,"anger,fear",,
2018-En-01266,1,2017-En-20141,0.9995884895324707,Will I ever NOT be tired again? This second kid put me over the top 🙃 #workmom #grateful,Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited,"fear,joy,optimism",,
2018-En-00938,1,2017-En-41327,0.9996686577796936,@_Oteraw unhappy and unfulfilled 😂,@Conorojo Loool understand the pessimism but it will 😂,pessimism,,
2018-En-04209,1,2017-En-11199,0.9996397495269775,Ask for my #snapchat #pussy #cock #horny #cum #wet #tits #follow ,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,"anticipation,joy,love",,
2018-En-03249,1,2017-En-20828,0.999351978302002,Israel's recent overtures towards West Africa seems to be attracting some elements of suspicion...an unnecessary suspicion though.,@TheDuranSite Russian mistrust of the U.S is well justified &amp; the precaution they've taken are very prudent.,"anticipation,surprise,trust",,
2018-En-02434,1,2017-En-22157,0.9997272491455078,@ScottAdamsSays broke it down on #snap great analysis on #CNBC,@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,"anger,disgust,sadness,surprise",,
2018-En-01974,1,2017-En-11163,0.999588131904602,"You can have a certain #arrogance, and I think that's fine, but what you should never lose is the #respect for the others.","I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.","anger,optimism",,
2018-En-02706,1,2017-En-30827,0.9997237920761108,Smile!!! #happy #smile,I love my family so much #lucky #grateful #smartassfamily  #love,"joy,love,optimism",,
2018-En-00747,1,2017-En-30288,0.9995483160018921,"5,000 new US #citizens swearing in now! #tears #congratulations",Thank you @twitter for the balloons today.  #goodday #48,"joy,optimism",,
2018-En-01278,1,2017-En-10209,0.9996061325073242,That said–due to passing the 50yr mark awhile ago–I know most of the #horrific damage to the #planet won't occur before my 'natural' #death.,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,"anger,disgust",,
2018-En-02727,1,2017-En-41314,0.9996952414512634,Each and every time I log on to that website to view the Lindsey Vonn pics I am #saddened by the courseness of our culture.,The snaps/Insta pics I see of the friends I made while in Cali are so unbelievably depressing cause there's no place I'd rather be but there,"disgust,pessimism,sadness",,
2018-En-03283,1,2017-En-40371,0.9997614026069641,Can't believe I've lost my phone get me home,Don't wanna go to work but I want the money ,"disgust,joy,pessimism,sadness",,
2018-En-01015,1,2017-En-10460,0.9992180466651917,"Novak is seeing those balls as melons, perfect conditions for him 😊 #Wimbledon",Brendan Rodgers looks fuming 😭,"anger,sadness",,
2018-En-01394,1,2017-En-30325,0.9995239973068237,Be gracious to me O God...for my soul takes #refuge in You; in the shadow of Your wings I will take #refuge... psalm 57:1 #hope #jesus #joy,the Lord turn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,"joy,love,optimism,trust",,
2018-En-01120,1,2017-En-40981,0.9993360042572021,'This one?' \n'A bit odd looking isn't he? Pointy.' The alien asked. \n'Perhaps. But he'll be #wonderful. He's from the Steve pile.' #vss365,I don't care what shape the blues are in. \nWe owe them a fucking hiding. \nLong overdue on that front.,"anger,disgust",,
2018-En-02529,1,2017-En-20218,0.9995825290679932,probably watching sad bts video bc im sad :( iwannacryy :(\n halppp,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,"anger,disgust,fear",,
2018-En-02308,1,2017-En-11049,0.9987742900848389,"----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime","— Self-hatred gives rise to fury, fury to the desire for self-change.","anger,disgust,optimism,sadness",,
2018-En-02830,1,2017-En-30383,0.9993722438812256,@Danger_McLovin Well done! 😀 (your twins Charlii and Cadance),"@ClaireBlair27 See, that's how you and Michelle are so cheery!","joy,optimism",,
2018-En-01253,1,2017-En-22109,0.9996834993362427,@theIeansquad @SatanHeavenly Rap is so unbearable and horrific.,@EricNobody @ArmouredSkeptic @YouTube This shit is gonna start a cold war of who can flag who first.,"anger,disgust",,
2018-En-02937,1,2017-En-21493,0.9991156458854675,I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,"I love my mother, but talking about the recent horrific murders with her is exhausting. Is this really how America feels?","disgust,fear,joy,love",,
2018-En-00099,1,2017-En-20897,0.999514639377594,"I always bounce back, life goes on man..I refuse to sulk in negativity. Yesterday's problems are just that, it's always a new day 🤗","As much as I want a normal little life.. It wouldn't suit me, I'd get restless, I need to just do what I want at all times to be happy 😊","anticipation,joy,love,optimism",,
2018-En-00942,1,2017-En-20992,0.9997528791427612,@sophieathertonn @lillynewtonx That's actually awful! You are in for a treat when you get home tho!!,"@darwinwatersons @pennyfitzger31 @gumballwatter15 ok but why tomorrow a horrible day, my day was great!","joy,optimism",,
2018-En-02737,1,2017-En-31594,0.9996685981750488,@mashable For some reason this has filled me with delight. See Auntie laugh.,@lakeline I still find you pleasing.,"joy,love",,
2018-En-04243,1,2017-En-21135,0.9993699789047241,Good morning and happy Tuesday! I hope you have a terrific day! Enjoy it tons 😃,@bothsocial Thanks for the follow! Hope you’re having a terrific day!,"joy,love,optimism",,
2018-En-04023,1,2017-En-11083,0.9996170997619629,How long?? @connor9mcintyre 😢😢😢 #Phelan #brilliance,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty,disgust,,
2018-En-01657,1,2017-En-10248,0.999643862247467,Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife,I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,"anger,disgust,sadness",,
2018-En-00622,1,2017-En-20930,0.9995569586753845,"@nextofficial placed order for nearly a grand SIX weeks ago, called yesterday, order 'missing' and no call back today! #shocking",@Rocks_n_Ropes Can't believe how rude your cashier was today when I was returning an item!  Your customer service is slacking. #terrible,"anger,disgust",,
2018-En-00685,1,2017-En-30762,0.9993655681610107,Happy that we played tgt as a team once. Thought there would be another chance out there but sadly no. Rest In Peace my dear friend. :(,I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too risky,fear,,
2018-En-01707,1,2017-En-20803,0.9996541142463684,She was obviously moved by the music of @RobertCrayBand tonight and wanted to share the love. #blues #concert,"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful","anger,disgust,fear",,
2018-En-01869,1,2017-En-30497,0.9996455311775208,There's no excuse for making the same mistakes twice. Live &amp; Learn or deal with the consequences of being unhappy #truthbomb,Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords,"optimism,trust",,
2018-En-01824,1,2017-En-11179,0.9997565150260925,God this match is dull #Wimbledon,Manchester derby at home #revenge,"anger,disgust",,
2018-En-01799,1,2017-En-30202,0.9995936751365662,"@KitchenAidUSA  I spent over $500 on your mixer, yet the dough hook chips in my dough.  I buy a new one and the same thing happens. #unhappy",@scdesc Yup. And Val basically ignoring the recipe. I'm just done. I keep bursting into laughter x,"joy,optimism,surprise",,
2018-En-02808,1,2017-En-20851,0.9996896982192993,Someone needs to start listening to @OssoKXLY about #AllStarGame2017 ideas. #brilliant @700espn,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad #terrible,"anger,disgust,fear,sadness",,
2018-En-02951,1,2017-En-30696,0.9996352791786194,"@ShojoPower Yes, or those animated comic book movies!","No, just tweet pictures of four fictional characters who describe you. One should be an animated character. @sunshinessp411",none,,
2018-En-04328,1,2017-En-21772,0.9995937943458557,Holding on to anger is like drinking poison and expecting the other person to die.\n#KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.","anger,disgust",,
2018-En-00156,1,2017-En-21638,0.9994440078735352,@byunsolo I DIDN'T ASK FOR THIS EITHER IT JUST HAPPENED 😤,3. You are so cool I feel slightly intimidated sometimes but YOU ARE A VERY NICE PERSON and I LIKE THE THINGS YOU DO. 💕,"joy,love,optimism,trust",,
2018-En-00428,1,2017-En-11269,0.9996930956840515,@mrjamesob @LBC 😂 snowflake random such a funny man never a dull moment brilliant,@johnmerro1 @Liberobility still bitter about last night lads 😂,"anger,joy",,
2018-En-00956,1,2017-En-41450,0.9997175931930542,Fuck small talk tell me about at what age did you start disappointing your parents,All work and no play makes Jack a dull boy,none,,
2018-En-02468,1,2017-En-11055,0.999631404876709,"We can replace #loss with #hope, #hate with #love, #pain with #gain, if we close the window of #bitterness and open doors of #faith. #TryIt","#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.","anger,anticipation,optimism,trust",,
2018-En-02314,1,2017-En-22171,0.9996587038040161,What's worse than feeling discouraged? Not finding an emoji for feeling discouraged,I'm so over having anxiety,fear,,
2018-En-03731,1,2017-En-11622,0.9996004700660706,Had a different approach today in London Town. Me &amp; @SharonSAtkinson chatted. Good ol' fashioned natter #cannotbeatachat #talking #laughing,"@LethalWeaponFOX promised I wouldn't live tweet, but  @DamonkWayans + @ClayneCrawford brought it! @JordanaBrewster and #furious action FTW!",anger,,
2018-En-03858,1,2017-En-11494,0.9996011853218079,#Spina #Bifida a #neural #tube #birth #defect where the #nervous #system &amp; #spinal #cord do not fully develop #raredisease #June #awareness,#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears #fury #anger #O,"anger,sadness",,
2018-En-01932,1,2017-En-11636,0.9995965361595154,Happy Birthday to #Olympic #great and #champ @jordyn_wieber 🎉 🎂 🎈,@JordySloan love that Jordy #revenge ⚽️,"anger,joy,love,optimism",,
2018-En-03226,1,2017-En-11118,0.9990628361701965,why is everybody seem sp serious?,White people irritate me.,"anger,disgust",,
2018-En-02753,1,2017-En-11415,0.9993502497673035,SOLD OUT!!!! Next batch in 3 days!!!!   ,I'm furious!!!!,"anger,disgust",,
2018-En-03481,1,2017-En-41031,0.999725341796875,Do not presume that richness of poorness will bring you happiness - Santosh Kalwar #quote #mentalhealth #psychology #depression #anxiety,"Once you've accepted your flaws, no one can use them against you - @GRRMspeaking #quote #mentalhealth #psychology #depression #anxiety","anticipation,fear,optimism",,
2018-En-01307,1,2017-En-21119,0.9996625781059265,Only I could be talking to a catfish on tinder 💁😂 glad I don't use it seriously 🤣,I can be so shy but once I come out of my shell that's it 😂,"joy,optimism",,
2018-En-04332,1,2017-En-11317,0.999604344367981,@1720maryknoll I was #fuming Kenny.,Chick told me I look like Childish Gambino. #insult or #compliment,"anger,anticipation,sadness",,
2018-En-01961,1,2017-En-10404,0.9995592832565308,"#Jesus #truth Psalms 32:11 You that are righteous, be glad and rejoice because of what the Lord has done. You that obey him, shout for joy!","Do not despise the Lord ’s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12",optimism,,
2018-En-03599,1,2017-En-30613,0.9996198415756226,"#Hope #youngins #mentalHealth balance crucial to our existence sustenance of life-not too much sad albeit we wish #happy perpetual,it's not🤣",#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote #optimism #problemsolving #behappy,"joy,optimism",,
2018-En-02918,1,2017-En-30291,0.9996360540390015,"The best thing about cooking with eggs is that even if your original idea doesn't work, you've still got scrambled eggs! #optimism","Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.",joy,,
2018-En-00184,1,2017-En-22248,0.9996393918991089,when we're offended. Lol,I'm shaking now.,"fear,pessimism",,
2018-En-02935,1,2017-En-20898,0.9996936321258545,"Also 45 billion for the opiod crisis is pennies, complete joke almost as hilarious as 65 billion for high risk pools! Itll #dryupquick",Huns are like a box of coffee revels #horrible,"anger,disgust",,
2018-En-02293,1,2017-En-21890,0.9993535876274109,The way I'm always on twitter at work is a little alarming 🤦🏾‍♀️,I forgot #BB18 was on tonight 😳 that is how much the real world has been distracting me #horrid 🙅🏼🙈🙊,"anger,disgust,fear",,
2018-En-03262,1,2017-En-10853,0.9995670914649963,@_jesskardashian @trevschan2 both are awesome.  People are missing out not watching fear!!!,@jaaames1993 Literally burst out laughing.,"joy,optimism,surprise",,
2018-En-03974,1,2017-En-10054,0.999582052230835,"@HasegawaSona Big, toothy smile as she wiggles about!",@KatzeAnilothei this amount of greedy mooching makes me snarl.,"anger,disgust",,
2018-En-04229,1,2017-En-20747,0.9997705817222595,@rachelkennedy84 @callummay @Ned_Donovan @JeyyLowe @jimwaterson @dats Can it do the bell ringing and incense at consecration?,@russian906 @kingerpag @dannewton1978 Of have a suspicion it was @lct1975 you know!!,fear,,
2018-En-02949,1,2017-En-11169,0.9994768500328064,I've got builders in my office and I have a game to make. Perhaps ill start sketching the next game... #gamedev #indiedev ,Oh man it's been so long since I've played #madden I am trash anymore.,"anger,fear,pessimism,sadness",,
2018-En-03357,1,2017-En-30907,0.9995133876800537,Mood : Happy 🙂 #blessing,#GBBO can cheer me up ☺️,"joy,love,optimism",,
2018-En-03248,1,2017-En-30373,0.999606728553772,Can't wait to perform 2nite at @CrashTestComedy at #Verns! #yyc #Calgary $5 #comedy #comedian #yycComedy #CalgaryComedy #fun #laughs #live,Watch this amazing live.ly broadcast by @huntermcaseyy #lively #musically,joy,,
2018-En-04055,1,2017-En-11595,0.9996228814125061,A few things that scare me thunder needles cats creepy dolls heights and edges #summerthunder #fears #ikitsweird,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n #ugh ,"disgust,fear,sadness",,
2018-En-00062,1,2017-En-30020,0.9994938969612122,#LoiuseLinton has become the female #MartinShkreli. Most hated woman in America. That takes some skill. #entitlement  #notcute,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,"joy,love",,
2018-En-01713,1,2017-En-40745,0.9995207786560059,#Hopkinsville #Ky is #total #eclipse #capital of #world #August 2017 #dancing n #moon #dark #eclipse2017 #EclipseAcrossAmerica #Edgar #Cayce,@hyattd335 #Grateful for #novel #award #promo #RT - #Blessings DeWayne Hyatt #Hippie who loves to grind on the #blues #Florida,"joy,love,optimism",,
2018-En-04050,1,2017-En-11153,0.9994924664497375,"So today was interesting, first #panic attack. Might need to do something about that.",Having one of those #angry days. I will have to stop watching #news.,"anger,disgust",,
2018-En-02178,1,2017-En-10773,0.9995377659797668,#dmme #kikme  #sext #horny  #ass #bbw  #naughty  #pussy #kik   #nudes  only  girls  😩 horny  #snap    jacobgigs,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat,"anger,disgust,pessimism",,
2018-En-01360,1,2017-En-22037,0.999406635761261,I haven't lost weight but I appear smaller and I'm pissed 🙄,Being shy is the biggest struggle of my life. 🙄,"fear,pessimism,sadness",,
2018-En-03339,1,2017-En-30450,0.9990654587745667,@beautifuIbaek Wow! I hope i win. 😭 thanks for this. 😊,"Update: I have yet to hang out with @MisElizaJane, but I'm still hopeful! #optimism",optimism,,
2018-En-02603,1,2017-En-10013,0.9995327591896057,"@F1 Why announcing so late, it will be hard to make it from Manchester and organising a day off. #sad","Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging","anger,disgust,pessimism,sadness",,
2018-En-01192,1,2017-En-10444,0.9995250105857849,@TheEllenShow I follow you bc your TV show keeps me laughing🤣.  When you #startle your guest sitting on that couch...booo...,"@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. ","anger,disgust,sadness",,
2018-En-04222,1,2017-En-21228,0.9991722702980042,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",Northampton are awful 🙈,"anger,disgust",,
2018-En-01810,1,2017-En-10588,0.9995832443237305,Can't Talk To An Incompetent Person. Goes In One Ear and Out The Other. #irritated #NoPoint #MassiveEyeRoll,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ","joy,optimism",,
2018-En-03321,1,2017-En-10026,0.9992300868034363,#World do you know what the difference is between #drunk and #sober? One word. #Coherence.,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,"anger,disgust",,
2018-En-02517,1,2017-En-10254,0.9995688199996948,United Airline at Newark needs more Kiosks so that people won't miss their cut off time.  And hire more ppl too.  #horrible,@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,"anger,disgust",,
2018-En-00780,1,2017-En-31317,0.9995510578155518,"Jesus drank the cup of wrath you deserve dry, so that you might drink deeply of His cup of salvation that eternally satisfies (Hab 2:15).","Zeph 3:17 'The Lord...is in your midst, a mighty one who will save; He will rejoice over you with gladness; He will quiet you by his love'","joy,love,optimism",,
2018-En-01726,1,2017-En-21724,0.9996955394744873,A loss ain't a loss it's a lesson #smile,I'm just always too shy,"fear,pessimism,sadness",,
2018-En-00187,1,2017-En-11138,0.9996314644813538,@gautamravi168 @vijatta @RanaAyyub He may hv driven the bus to the terror hiding.,@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim,"anger,disgust",,
2018-En-00900,1,2017-En-40752,0.9995263814926147,I am shy at first.It usually takes me a few minutes to assess the jaw of the people i am hanging out with and then i will act according🤷🏽‍♀️,Well i did hear once before that girls are attracted to men that look like their dad!  👌 #serious,"anticipation,surprise",,
2018-En-01197,1,2017-En-21563,0.9990841746330261,Jeong su is easy to get along with everybody likes him and not intimidated by him.. I like him.. he reminds me of seunghoon,day 2 of the thread and i thing he doesn't like me like that. idk he's so shy and secretive... ugh.,"anger,disgust,sadness",,
2018-En-01634,1,2017-En-11553,0.999531090259552,Outside has basically become a horror movie where gypsy moths take over the world by flitting aggressively about.\n\n#creaturedoublefeature,Look what we have available in store now!!!\n\nLiquid incense for those who can't burn sticks or cones or have smoke in they home!!!!,joy,,
2018-En-01589,1,2017-En-30491,0.9994394779205322,@ParkerMolloy @KFILE Very misleading heading. Not to mention an agenda driven article. ,"@DKTaylorWriter I thought that was funny, too. But maybe not such a coincidence. Green must be the official color of optimism.","joy,optimism",,
2018-En-00749,1,2017-En-40085,0.998194694519043,#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh 😒,"anger,disgust,sadness",,
2018-En-01606,1,2017-En-20582,0.9996413588523865,We musn't allow bitterness and anger to make our hearts infertile to God’s gifts.,It is more shameful to distrust our friends than to be deceived by them,"disgust,sadness",,
2018-En-00980,1,2017-En-10045,0.9998044967651367,I feel intimidated,i feel furious,"anger,disgust",,
2018-En-01525,1,2017-En-41246,0.9994693994522095,@BeautinaSuit No need to thank me.. I'm just telling it like it is 😊 Hope you have a great day too! 😃,@hedgegirl I was only joking. I don't have any parents. 😈 #dark,"anger,pessimism,sadness",,
2018-En-03337,1,2017-En-11636,0.9996591806411743,@JoshuaRozenberg Oh dear! #tantrums,@JordySloan love that Jordy #revenge ⚽️,"anger,joy,love,optimism",,
